UI/GameTitle,EST Solar Mission,EST Misión Solar,EST Missione Solare
UI/OptionsMenu,Options,Opciones,Opzioni
HelloWorld,HelloWorld!,¡Hola Mundo!,Ciao mondo!
GenericDialogueTest_00,Hello testing 1 2 3,Hola probando 1 2 3,Ciao provando 1 2 3
GenericDialogueTest_01,Hello testing 4 5 6,Hola probando 4 5 6,Ciao provando 4 5 6
UI/NewGameMenu,New Game,Nueva Partida,LA NUOVA PARTITICIONE
UI/ContinueMenu,Continue,Continuar,CONTINUATOO
UI/ExitMenu,Exit,Salir,SPAGUEEEETTIIIII
UI/MusicAndSoundOptionsMenu,Music and sound,Música y sonido,Raviooooli
UI/MusicOptionsMenu,Music,Música,Tagilatell
UI/SoundOptionsMenu,Sound,Sonido,Linguini
UI/LanguageOptionsMenu,Language,Idioma,Pizza
UI/SpanishOptionsMenu,Spanish,Español,Fetuccini
UI/EnglishOptionsMenu,English,Inglés,
UI/BackOptionsMenu,Back,Volver,
Lomnicky/Bienvenida_00,UV& do you copy me? I see you are going to Lomnický štít Observatory,UV& do you copy me? I see you are going to Lomnický štít Observatory,UV& do you copy me? I see you are going to Lomnický štít Observatory
Lomnicky/Bienvenida_01,Great! This observatory has been monitoring the behavior of the solar corona for more than 60 years. It's just what we need right now!,Great! This observatory has been monitoring the behavior of the solar corona for more than 60 years. It's just what we need right now!,Great! This observatory has been monitoring the behavior of the solar corona for more than 60 years. It's just what we need right now!
Lomnicky/Bienvenida_02,The Sun is reaching the highest levels of activity ever recorded. We need you to observe the corona to obtain more information about what is happening!,The Sun is reaching the highest levels of activity ever recorded. We need you to observe the corona to obtain more information about what is happening!,The Sun is reaching the highest levels of activity ever recorded. We need you to observe the corona to obtain more information about what is happening!
Lomnicky/Bienvenida_03,Above all& don't forget to test the new camera for EST. Thanks to it& we will be able to study the Sun in different wavelengths with a resolution never achieved before.,Above all& don't forget to test the new camera for EST. Thanks to it& we will be able to study the Sun in different wavelengths with a resolution never achieved before.,Above all& don't forget to test the new camera for EST. Thanks to it& we will be able to study the Sun in different wavelengths with a resolution never achieved before.
Lomnicky/Bienvenida_04,But& be careful. Strange things... are happening…,But& be careful. Strange things... are happening…,But& be careful. Strange things... are happening…
Lomnicky/Bienvenida_05,Good luck! (You will need it),Good luck! (You will need it),Good luck! (You will need it)
Lomnicky/PickSkill_00,Congratulations! Now you have the power of generating “solar magnetic tornadoes”!,Congratulations! Now you have the power of generating “solar magnetic tornadoes”!,Congratulations! Now you have the power of generating “solar magnetic tornadoes”!
Lomnicky/PickSkill_01,Magnetic tornadoes are plasma structures rotating in the atmosphere of the Sun. They can reach velocities of more than 10000 km/h.,Magnetic tornadoes are plasma structures rotating in the atmosphere of the Sun. They can reach velocities of more than 10000 km/h.,Magnetic tornadoes are plasma structures rotating in the atmosphere of the Sun. They can reach velocities of more than 10000 km/h.
Lomnicky/PickSkill_02,This ability will help you accomplish your mission!,This ability will help you accomplish your mission!,This ability will help you accomplish your mission!
Lomnicky/Teleferico_00,An aurora! What??!! They occur when particles launched from the Sun collide with the Earth's magnetic field,An aurora! What??!! They occur when particles launched from the Sun collide with the Earth's magnetic field,An aurora! What??!! They occur when particles launched from the Sun collide with the Earth's magnetic field
Lomnicky/Teleferico_01,It's rare to see them at these low latitudes... and in daylight!,It's rare to see them at these low latitudes... and in daylight!,It's rare to see them at these low latitudes... and in daylight!
Lomnicky/Teleferico_02,Certainly& the solar activity must be very intense. So much as my hunger. I better hurry up!,Certainly& the solar activity must be very intense. So much as my hunger. I better hurry up!,Certainly& the solar activity must be very intense. So much as my hunger. I better hurry up!
Lomnicky/Motor_00,Rats! The cable car engine doesn't work. The fuse is even more roasted than my breakfast this morning!,Rats! The cable car engine doesn't work. The fuse is even more roasted than my breakfast this morning!,Rats! The cable car engine doesn't work. The fuse is even more roasted than my breakfast this morning!
Lomnicky/Motor_01,Intense solar storms may affect the normal working of electrical systems. I wonder if my toaster is fine.,Intense solar storms may affect the normal working of electrical systems. I wonder if my toaster is fine.,Intense solar storms may affect the normal working of electrical systems. I wonder if my toaster is fine.
Lomnicky/TCúpula abierta_00,The best conditions for astronomical observations occur high in mountains. But... it's snowing! And the telescope dome is open! How is it possible?,The best conditions for astronomical observations occur high in mountains. But... it's snowing! And the telescope dome is open! How is it possible?,The best conditions for astronomical observations occur high in mountains. But... it's snowing! And the telescope dome is open! How is it possible?
Lomnicky/TCúpula abierta_01,I have to CLOSE IT  before the snow damages the telescope and Spectro turns me into sausage paste (or sauerkraut!).,I have to CLOSE IT  before the snow damages the telescope and Spectro turns me into sausage paste (or sauerkraut!).,I have to CLOSE IT  before the snow damages the telescope and Spectro turns me into sausage paste (or sauerkraut!).
Lomnicky/Bloqueo escaleras,Wait! What am I doing? It's not lunchtime yet! I have to close the dome before the snow damages the telescope!,Wait! What am I doing? It's not lunchtime yet! I have to close the dome before the snow damages the telescope!,Wait! What am I doing? It's not lunchtime yet! I have to close the dome before the snow damages the telescope!
Lomnicky/Unlock code,Oh no! I never remember the code to close the dome! Is it my cat’s birthday date...?  Where did I write it down?,Oh no! I never remember the code to close the dome! Is it my cat’s birthday date...?  Where did I write it down?,Oh no! I never remember the code to close the dome! Is it my cat’s birthday date...?  Where did I write it down?
Lomnicky/AyudaObservacion,Thank goodness! But it is impossible to observe anything with this snowstorm. I've got it! I'll ask Eclipse to use the Swedish Solar Telescope (SST).,Thank goodness! But it is impossible to observe anything with this snowstorm. I've got it! I'll ask Eclipse to use the Swedish Solar Telescope (SST).,Thank goodness! But it is impossible to observe anything with this snowstorm. I've got it! I'll ask Eclipse to use the Swedish Solar Telescope (SST).
Lomnicky/Bloqueo Azotea,Primero debería pedir ayuda a algún compañero.,Primero debería pedir ayuda a algún compañero.,Primero debería pedir ayuda a algún compañero.
Lomnicky/Ayudapc_ 00,Eclipse! Do you copy? I need your help! A blizzard is preventing me from using the telescope. Can you make some observations at the SST?,Eclipse! Do you copy? I need your help! A blizzard is preventing me from using the telescope. Can you make some observations at the SST?,Eclipse! Do you copy? I need your help! A blizzard is preventing me from using the telescope. Can you make some observations at the SST?
Lomnicky/Ayudapc_ 01,Roger that! But you owe me a meal. Or better& two.,Roger that! But you owe me a meal. Or better& two.,Roger that! But you owe me a meal. Or better& two.
Lomnicky/EclipseRecogidaDatos 00,UV& I'm freaking out!,UV& I'm freaking out!,UV& I'm freaking out!
Lomnicky/EclipseRecogidaDatos 01,Certainly& the solar magnetic field is now even crazier than Spectro at the Christmas party. The activity has become increasingly explosive.,Certainly& the solar magnetic field is now even crazier than Spectro at the Christmas party. The activity has become increasingly explosive.,Certainly& the solar magnetic field is now even crazier than Spectro at the Christmas party. The activity has become increasingly explosive.
Lomnicky/EclipseRecogidaDatos 02,I've never seen anything like this! The consequences for the Earth are unpredictable…,I've never seen anything like this! The consequences for the Earth are unpredictable…,I've never seen anything like this! The consequences for the Earth are unpredictable…
Lomnicky/EclipseRecogidaDatos 03,So... when are you taking me out for lunch?,So... when are you taking me out for lunch?,So... when are you taking me out for lunch?
Lomnicky/EclipseRecogidaDatos 04,Before that& I must calibrate the camera and send it to the European Solar Telescope as soon as possible. It's the only way to understand what's happening in the Sun... Do you mind if I order some pizza& instead?,Before that& I must calibrate the camera and send it to the European Solar Telescope as soon as possible. It's the only way to understand what's happening in the Sun... Do you mind if I order some pizza& instead?,Before that& I must calibrate the camera and send it to the European Solar Telescope as soon as possible. It's the only way to understand what's happening in the Sun... Do you mind if I order some pizza& instead?
Lomnicky/SpectroCamara,UV& the snowstorm is over. We need you to test the camera and take it to EST immediately!,UV& the snowstorm is over. We need you to test the camera and take it to EST immediately!,UV& the snowstorm is over. We need you to test the camera and take it to EST immediately!
Lomnicky/SpectroCamara2,I know! But first& I have to find all the pieces! Someone has spread them all around the observatory as if they were breadcrumbs!,I know! But first& I have to find all the pieces! Someone has spread them all around the observatory as if they were breadcrumbs!,I know! But first& I have to find all the pieces! Someone has spread them all around the observatory as if they were breadcrumbs!
Lomnicky/SpectroCamara3,Well& stop thinking about food and hurry up!,Well& stop thinking about food and hurry up!,Well& stop thinking about food and hurry up!
Lomnicky/SpectroPiezasConseguidas,Finally& I've gathered all the pieces of the camera! I have to go back quickly to the telescope room and test it. Spectro must be impatient& he could explode like a coronal mass ejection at any moment,Finally& I've gathered all the pieces of the camera! I have to go back quickly to the telescope room and test it. Spectro must be impatient& he could explode like a coronal mass ejection at any moment,Finally& I've gathered all the pieces of the camera! I have to go back quickly to the telescope room and test it. Spectro must be impatient& he could explode like a coronal mass ejection at any moment
Lomnicky/SpectroTodoConsegudo 00,Hooray! The camera works perfectly! This deserves a great dinner!,Hooray! The camera works perfectly! This deserves a great dinner!,Hooray! The camera works perfectly! This deserves a great dinner!
Lomnicky/SpectroTodoConsegudo 01,Congratulations UV! Now go quickly to the cable car and take the camera with you to set it up on EST. There is no time to waste! And bring me some cookies!,Congratulations UV! Now go quickly to the cable car and take the camera with you to set it up on EST. There is no time to waste! And bring me some cookies!,Congratulations UV! Now go quickly to the cable car and take the camera with you to set it up on EST. There is no time to waste! And bring me some cookies!
Lomnicky/CanSee,Hello& tiny lamps! Hiding in that wavelength is useless now. With my camera& I can perfectly see you. Are you ready? I'm going to turn you into meatballs!,Hello& tiny lamps! Hiding in that wavelength is useless now. With my camera& I can perfectly see you. Are you ready? I'm going to turn you into meatballs!,Hello& tiny lamps! Hiding in that wavelength is useless now. With my camera& I can perfectly see you. Are you ready? I'm going to turn you into meatballs!
PicDuMidi/Intro0,Mr Prominence! Menos mal que estás aquí& necesitamos tu ayuda!,Mr Prominence! Menos mal que estás aquí& necesitamos tu ayuda!,Mr Prominence! Menos mal que estás aquí& necesitamos tu ayuda!
PicDuMidi/Intro1,Tienes que encontrar los filtros UV que vamos a necesitar para EST.,Tienes que encontrar los filtros UV que vamos a necesitar para EST.,Tienes que encontrar los filtros UV que vamos a necesitar para EST.
PicDuMidi/Intro2,Antes de traerlos asegúrate de probarlos en una observación.,Antes de traerlos asegúrate de probarlos en una observación.,Antes de traerlos asegúrate de probarlos en una observación.
PicDuMidi/Intro3,Cuento contigo!,Cuento contigo!,Cuento contigo!
PicDuMidi/AbrigoGafas,Hace mucho frío fuera. Asegúrate de tener un buen abrigo y unas gafas que te protejan antes de salir,Hace mucho frío fuera. Asegúrate de tener un buen abrigo y unas gafas que te protejan antes de salir,Hace mucho frío fuera. Asegúrate de tener un buen abrigo y unas gafas que te protejan antes de salir
PicDuMidi/Reaccion,Cuidado! El flare puede producir una CME necesitamos verificarlo en el cronógrafo.,Cuidado! El flare puede producir una CME necesitamos verificarlo en el cronógrafo.,Cuidado! El flare puede producir una CME necesitamos verificarlo en el cronógrafo.
PicDuMidi/Ayuda,Eso está completamente inutilizable. Necesitaré que UV me ayude desde SST,Eso está completamente inutilizable. Necesitaré que UV me ayude desde SST,Eso está completamente inutilizable. Necesitaré que UV me ayude desde SST
PicDuMidi/Ayuda1,Necesitaré que UV me ayude desde SST,Necesitaré que UV me ayude desde SST,Necesitaré que UV me ayude desde SST
PicDuMidi/Ayuda2,UV podrías ayudarme usando el cronógrafo desde allí?,UV podrías ayudarme usando el cronógrafo desde allí?,UV podrías ayudarme usando el cronógrafo desde allí?
PicDuMidi/Ayuda3,Sin problema yo me encargo!,Sin problema yo me encargo!,Sin problema yo me encargo!
PicDuMidi/BuscarFiltros,Todo parece estar correcto. Es hora de encontrar los filtros para el estudio.,Todo parece estar correcto. Es hora de encontrar los filtros para el estudio.,Todo parece estar correcto. Es hora de encontrar los filtros para el estudio.
PicDuMidi/Destapar telescopio,Primero deberías destapar el telescopio,Primero deberías destapar el telescopio,Primero deberías destapar el telescopio
PicDuMidi/Conseguir Filtros,Necesito encontrar todos los filtros para probarlos,Necesito encontrar todos los filtros para probarlos,Necesito encontrar todos los filtros para probarlos